 DECAY0 generated file: Tl208.dat                               

  date and hour         :   10.10.2007    15:45:24
  initial random number :  0
    
  event type: Tl208           
    
 Format of data:
  for each event    - event's number,
                      time of event's start, 
                      number of emitted particles;
  for each particle - GEANT number of particle,
                      x,y,z components of momentum,
                      time shift from previous time
    
 Time - in sec, momentum - in MeV/c
    
 First event and full number of events:
 1 10000
  1 -0.681237E-01 -0.473847     -0.178743      0.00000    
  1 -0.203123      0.233500     -0.494073     0.521730E-09
  1  -1.96344     -0.878400      -1.48713     0.206874E-09
      73  166.764       4
  3  0.359872E-01   1.32266      0.475313      0.00000    
  1  0.292114      0.153288     -0.390248      0.00000    
  1 -0.145145     -0.564613     -0.582951E-02 0.554811E-09
  1  0.385934      -2.41534      0.924874     0.206169E-09
      74  163.459       3
  3  0.901950E-01 -0.325452E-01 -0.445622      0.00000    
  1  0.167341     -0.414581      0.374177     0.792191E-09
  1  -2.45764      0.872920      0.190430     0.982947E-10
      75  347.512       3
  3 -0.832477      0.118671      0.136014E-01  0.00000    
  1 -0.187483      0.433762      0.341453     0.123494E-09
  1 -0.833732       2.12653       1.27319     0.689725E-11
      76  63.4161       3
  3 -0.675668E-01 -0.435941      0.455503      0.00000    
  1 -0.387797      0.384268      0.204550     0.166273E-08
  1   1.55418       1.62920      -1.32983     0.755712E-10
      77  352.255       3
  3 -0.338219       1.23418      0.733518      0.00000    
  1  0.489655      0.894925E-01 -0.303509     0.151214E-09
  1 -0.540975      0.378453       2.53029     0.199989E-10
      78  33.4878       5
  3   1.24014       1.02672      0.868864E-01  0.00000    
  3 -0.400817      0.261005      0.100414E-01 0.427889E-10
  1  0.205361E-01  0.175632E-01 -0.837484E-01  0.00000    
  1 -0.528253      0.205239      0.136804     0.406849E-09
  1  -1.25094      -2.11297      0.899295     0.456388E-10
      79  233.112       3
  3 -0.168802       1.08287     -0.433047      0.00000    
  1  0.460578     -0.197908      0.700015     0.510261E-11
  1  0.192081       2.50785     -0.715541     0.616557E-10
      80  23.6065       4
  3 -0.749958      0.369929     -0.392647E-01  0.00000    
  1 -0.173805     -0.465879      0.117767      0.00000    
  1 -0.440500      0.209038      0.319612     0.589083E-09
  1   1.78321      -1.18286       1.50308     0.505862E-10
      81  189.511       3
  3  0.244014E-01  0.358390      0.267774      0.00000    
  1  0.466274     -0.335337     -0.100130     0.139417E-09
  1  0.370593      -1.30297      -2.23678     0.291183E-10
      82  13.3500       4
  3 -0.112009     -0.245402     -0.377206      0.00000    
  1 -0.389608     -0.265622      0.196905      0.00000    
  1  0.323017      0.432017     -0.221157     0.116399E-09
  1  -1.80491       1.67362     -0.882907     0.102881E-09
      83  339.766       4
  3  0.133271       1.19006      0.121172      0.00000    
  1  0.583202E-01  0.176557     -0.205318     0.895207E-11
  1  0.360147      0.373974     -0.265192     0.299489E-09
  1   1.17935       2.31522     -0.295132     0.196861E-10
      84  60.3178       4
  3 -0.392437      -1.28498     -0.421949      0.00000    
  1  0.568721      0.488216     -0.142727      0.00000    
  1 -0.562324      0.512252E-01  0.145108     0.766261E-09
  1  -2.01859       1.57400      0.534820     0.741866E-10
      85  281.813       5
  3 -0.719536      0.449306      0.679181      0.00000    
  3  0.329117     -0.103135      0.331547     0.416180E-11
  1 -0.125428E-01  0.870234E-01  0.368897E-02  0.00000    
  1 -0.475086     -0.335066      0.437320E-01 0.305416E-10
  1 -0.599147      0.233972       2.53466     0.217850E-10
      86  2.86125       3
  3 -0.854606E-01 -0.239308     -0.464140      0.00000    
  1 -0.334927     -0.207470     -0.429732     0.946216E-10
  1 -0.968740      -2.41365     -0.272152     0.117018E-09
      87  127.436       3
  3  0.140981     -0.419667       1.07166      0.00000    
  1  0.276647      0.564310      0.588508     0.228167E-11
  1   1.52117       2.12408      0.111938     0.140858E-09
      88  932.491       4
  3  0.482911     -0.980770     -0.744452      0.00000    
  1 -0.162055      0.306241      0.375600      0.00000    
  1 -0.557913     -0.570485E-01  0.159272     0.237177E-09
  1   2.28089      0.343974      -1.23184     0.902382E-11
      89  44.3098       3
  3  0.182728      -1.67905       1.33726      0.00000    
  1  0.774714E-01  0.514293      0.263419     0.563675E-09
  1  -1.15842      -2.05736      -1.12408     0.117780E-09
      90  26.5489       3
  3  -1.38956     -0.198697       1.42494      0.00000    
  1  0.204746      0.503183     -0.211600     0.108159E-08
  1 -0.240944      0.909585       2.43984     0.402788E-10
      91  55.7631       3
  3 -0.464973       1.03451     -0.763788      0.00000    
  1 -0.271247      0.149438     -0.493946     0.369390E-09
  1 -0.207279      -2.57003      0.436107     0.173265E-10
      92  1460.67       3
  3 -0.600933       1.43107     -0.627365E-01  0.00000    
  1  0.431727      0.333280     -0.205975     0.272459E-09
  1   1.15107      -2.33237      0.270737     0.120093E-10
      93  1174.65       3
  3 -0.447701     -0.821753      0.851756      0.00000    
  1  0.938845E-01  0.795016      0.316948     0.312358E-11
  1  0.472456E-01  -2.61447     -0.227590E-01 0.345568E-11
      94  98.6550       3
  3   1.11532     -0.831584     -0.185883      0.00000    
  1  0.747453E-02  0.475127     -0.337768     0.962615E-09
  1  0.522482       1.47773      -2.09322     0.655863E-10
      95  223.817       5
  3 -0.421959     -0.851849     -0.500763      0.00000    
  3 -0.132040      0.358414      0.288068     0.621955E-11
  1  0.656613E-01 -0.251264E-01 -0.529269E-01  0.00000    
  1 -0.538488     -0.154815     -0.161096     0.661273E-09
  1  -2.24341      -1.32285      0.235377     0.460686E-10
      96  329.468       4
  3 -0.362254     -0.579242     -0.387583      0.00000    
